port,cargo_type,customer_type,industry,transport_mode,distance_km,transport_cost,port_cost,total_cost,delay_occurred,delay_days,monthly_spend_value,shipment_frequency,storage_required,storage_days,express_required,loss_due_to_delay,customer_satisfaction,will_choose_portkart
Kolkata,Container,Distributor,Textiles,Multi-modal,137,84732,31284,116016,0,0,464064,5,1,3,1,0,4,1
Mundra,Hazardous,Retailer,Machinery,Road,524,79188,37568,116756,0,0,817292,11,0,2,1,0,3,1
Kolkata,Liquid,Retailer,Machinery,Road,216,71551,37912,109463,0,0,437852,2,1,1,1,0,2,1
JNPT,Bulk,Importer,Textiles,Rail,1154,63483,35787,99270,0,0,794160,4,1,4,1,0,2,1
Kolkata,Bulk,Importer,Chemicals,Rail,865,85758,26873,112631,0,0,337893,8,1,4,0,0,5,1
Cochin,Bulk,Distributor,Machinery,Road,1230,49268,32185,81453,1,4,407265,13,0,1,0,14272,1,1
Kolkata,Hazardous,Retailer,Textiles,Multi-modal,338,88190,25258,113448,0,0,1021032,11,0,2,0,0,4,1
JNPT,Hazardous,Retailer,Machinery,Multi-modal,733,88033,39488,127521,0,0,1020168,8,1,3,0,0,3,1
Cochin,Liquid,Exporter,Textiles,Road,256,67266,37412,104678,0,0,837424,10,1,4,0,0,1,1
Kolkata,Container,Retailer,Machinery,Multi-modal,1244,62403,38141,100544,0,0,804352,13,1,5,1,0,4,1
Mundra,Bulk,Importer,Chemicals,Rail,1404,82557,36312,118869,0,0,594345,10,0,4,0,0,1,1
JNPT,Liquid,Exporter,Electronics,Rail,1298,46776,29474,76250,0,0,686250,3,1,4,1,0,3,0
JNPT,Hazardous,Importer,FMCG,Multi-modal,1186,86576,26585,113161,1,2,905288,5,0,1,0,11474,4,1
Cochin,Hazardous,Importer,Chemicals,Multi-modal,252,86717,38091,124808,0,0,873656,8,0,1,0,0,5,1
Kolkata,Bulk,Exporter,Electronics,Multi-modal,1399,63509,21930,85439,1,4,170878,13,0,4,1,32392,4,1
Chennai,Bulk,Distributor,Chemicals,Road,978,70206,28338,98544,0,0,788352,8,1,2,1,0,3,1
Kolkata,Container,Importer,Textiles,Multi-modal,193,87025,34486,121511,0,0,364533,10,1,1,1,0,1,1
Kolkata,Container,Importer,Textiles,Multi-modal,453,69855,27158,97013,0,0,388052,8,1,1,1,0,4,1
Kolkata,Bulk,Distributor,FMCG,Rail,871,42557,25592,68149,1,1,204447,3,1,5,0,9352,4,1
JNPT,Bulk,Importer,Textiles,Road,689,61295,23987,85282,0,0,767538,1,1,4,0,0,5,0
Chennai,Bulk,Retailer,Chemicals,Multi-modal,1009,59738,36609,96347,0,0,192694,1,0,4,0,0,3,1
JNPT,Hazardous,Importer,Chemicals,Road,1110,58589,30716,89305,0,0,625135,8,0,1,1,0,3,0
Kolkata,Container,Retailer,Textiles,Rail,615,40190,30492,70682,0,0,565456,10,0,6,1,0,2,0
Chennai,Bulk,Exporter,Machinery,Rail,808,85017,20784,105801,1,1,423204,10,0,2,0,9716,4,1
Mundra,Liquid,Importer,Chemicals,Multi-modal,520,85091,24780,109871,0,0,988839,12,1,2,1,0,3,1
JNPT,Bulk,Distributor,Textiles,Road,1042,62677,29907,92584,0,0,740672,8,0,4,1,0,4,1
Cochin,Hazardous,Retailer,Machinery,Rail,685,72093,24142,96235,1,4,481175,10,1,3,0,37244,3,1
Kolkata,Bulk,Distributor,Electronics,Road,1131,65945,28308,94253,0,0,754024,10,0,2,1,0,1,1
Cochin,Container,Importer,Machinery,Multi-modal,1149,43343,33500,76843,1,3,461058,10,1,3,0,24759,1,1
Cochin,Bulk,Retailer,Chemicals,Road,1277,84078,33296,117374,0,0,821618,10,1,5,0,0,5,1
Mundra,Bulk,Exporter,FMCG,Multi-modal,491,72580,22849,95429,0,0,286287,1,1,5,0,0,2,1
JNPT,Hazardous,Retailer,Chemicals,Road,1006,62687,20851,83538,0,0,250614,3,0,5,1,0,1,0
JNPT,Hazardous,Exporter,Machinery,Multi-modal,803,57450,30636,88086,0,0,616602,3,0,1,1,0,5,1
Mundra,Bulk,Exporter,FMCG,Road,1148,51261,20417,71678,0,0,573424,13,1,4,0,0,1,1
Kolkata,Bulk,Importer,Chemicals,Rail,1058,58888,22967,81855,1,1,327420,7,1,6,1,4440,5,1
JNPT,Liquid,Importer,Electronics,Rail,446,86352,32144,118496,0,0,1066464,11,0,1,1,0,5,1
JNPT,Liquid,Retailer,Chemicals,Multi-modal,1440,44360,22502,66862,1,3,601758,5,0,3,1,24576,4,1
Chennai,Container,Retailer,FMCG,Road,1236,41167,21062,62229,0,0,186687,7,0,3,0,0,4,1
JNPT,Bulk,Exporter,Machinery,Rail,1466,75307,27056,102363,0,0,818904,2,0,2,1,0,5,1
Cochin,Bulk,Distributor,Electronics,Multi-modal,1400,68295,33807,102102,1,2,510510,9,0,4,1,8282,4,1
Chennai,Container,Retailer,FMCG,Rail,1131,78069,35485,113554,0,0,681324,4,1,5,0,0,3,1
Cochin,Hazardous,Exporter,Electronics,Rail,1190,40504,21214,61718,0,0,123436,6,1,4,0,0,5,1
Cochin,Hazardous,Exporter,Textiles,Road,1475,67860,31003,98863,0,0,395452,9,0,6,0,0,1,1
